,Orig_Tweet,cluster
497849,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
196296,rt optajoe kylian mbappe first teenager score least twice world cup match since pele vs sweden boss fra…,1
157518,rt optajoe kylian mbappe first teenager score least twice world cup match since pele vs sweden boss fra…,1
446003,rt sportstarweb kylian mbappe wins fifa young player worldcup award,1
453533,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
411494,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
176806,rt 9gagfootball kylian mbappe even born fra worldcup,1
478206,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
505647,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
386353,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
157044,rt footyhumour kylian mbappe annihilated argentina worldcup,1
153956,rt optajoe kylian mbappe first teenager score least twice world cup match since pele vs sweden boss fra…,1
464855,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
453375,rt psgenglish kmbappe named best young player worldcup,1
414945,rt xhsports fifa young player award kylian mbappe fra golden ball award luka modric cro worldcup,1
193853,rt sporf kylian mbappe first teenager score twice worldcup match since pele back tale…,1
376448,rt iambolar yearsold kylian mbappe youngest player score two goals worldcup match since pele third teenager pl…,1
433113,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
365976,rt inddigitalninja fifa awards golden ball luka modric cro young player kylian mbappe fra golden boot harry kane eng …,1
492777,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
498609,rt bbcmotd golden ball luka modric cro young player tournament kylian mbappe fra well deserved worldcup,1
472387,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
214494,rt footyhumour kylian mbappe annihilated argentina worldcup,1
446404,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
472390,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
512437,rt footballtweet kylian mbappé young player tournament award worldcup fra,1
413504,rt psgenglish kmbappe named best young player worldcup,1
131794,rt optajoe kylian mbappe first teenager score least twice world cup match since pele vs sweden boss fra…,1
457999,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
506304,rt squawkanews official kylian mbappé named best young player world cup shock worldcup,1
445852,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
477921,rt mattreedfutbol golden ball luka modric cro best young player kylian mbappe fra golden boot harry kane eng golden gloves thibaut…,1
183629,rt optajoe kylian mbappe first teenager score least twice world cup match since pele vs sweden boss fra…,1
482848,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
488668,rt fifaworldcup fifa young player award kylian mbappe fra worldcup,1
371042,rt psgenglish kmbappe named best young player worldcup,1
